Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.097477	572.733839	633.222424	0.000000	0.000000	
0.095015	506.184119	578.322737	0.000000	0.000000	
0.092615	506.666432	750.094765	0.000000	0.000000	
0.090275	508.172015	554.073376	0.000000	0.000000	
0.087995	505.122485	524.493049	0.000000	0.000000	
0.085772	507.850006	533.347542	0.000000	0.000000	
0.083606	547.755066	560.055893	0.000000	0.000000	
0.081494	544.286218	555.367043	0.000000	0.000000	
0.079435	545.169544	613.273982	0.000000	0.000000	
0.077429	545.321733	545.762804	0.000000	0.000000	
0.075473	545.168715	553.434638	0.000000	0.000000	
0.073566	519.825353	673.012706	0.000000	0.000000	
0.071708	541.799019	543.858271	0.000000	0.000000	
0.069897	534.599480	505.034015	0.000000	0.000000	
0.068131	532.291590	542.384440	0.000000	0.000000	
0.066410	531.173430	563.667143	0.000000	0.000000	
0.064733	511.667109	502.668587	0.000000	0.000000	
0.063098	490.690312	482.922384	0.000000	0.000000	
0.061504	483.166965	582.961916	0.000000	0.000000	
0.059950	513.221658	546.054931	0.000000	0.000000	
0.058436	536.712401	542.620198	0.000000	0.000000	
0.056960	538.373106	544.272218	0.000000	0.000000	
0.055521	511.959363	498.452763	0.000000	0.000000	
0.054119	519.590993	543.503169	0.000000	0.000000	
0.052752	537.366916	543.037852	0.000000	0.000000	
0.051419	496.718245	621.948088	0.000000	0.000000	
0.050120	501.359486	541.823225	0.000000	0.000000	
0.048854	529.878917	566.339080	0.000000	0.000000	
0.047620	505.027687	542.635125	0.000000	0.000000	
0.046417	523.866276	487.000804	0.000000	0.000000	
0.045245	466.032943	457.445778	0.000000	0.000000	
0.044102	454.948029	488.042357	0.000000	0.000000	
0.042988	446.449539	447.678640	0.000000	0.000000	
0.041902	444.780912	449.135605	0.000000	0.000000	
0.040844	438.434921	445.251670	0.000000	0.000000	
0.039812	434.679316	482.874735	0.000000	0.000000	
